vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,16
V_meas,I,abs_I
-0.00392952,-2.64178e-13,2.64178e-13
-0.102337,-6.20398e-11,6.20398e-11
-0.199805,-8.32192e-11,8.32192e-11
-0.301086,-9.43827e-11,9.43827e-11
-0.402616,-1.08575e-10,1.08575e-10
-0.50076,-2.20834e-10,2.20834e-10
-0.602219,-1.42836e-08,1.42836e-08
-0.70005,-5.17733e-07,5.17733e-07
-0.801281,-2.20444e-05,2.20444e-05
-0.902477,-0.000633006,0.000633006
-1.00035,-0.00380505,0.00380505
-1.10037,-0.00885964,0.00885964
-1.19702,-0.0143467,0.0143467
-1.29257,-0.0199986,0.0199986
-1.29251,-0.0199995,0.0199995
-1.29219,-0.0199995,0.0199995
