vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,501
V_meas,I,abs_I
151.99,7.47698e-08,7.47698e-08
152.991,7.43633e-08,7.43633e-08
153.992,7.54841e-08,7.54841e-08
154.994,7.80576e-08,7.80576e-08
155.995,8.0157e-08,8.0157e-08
156.988,8.2894e-08,8.2894e-08
157.989,8.63968e-08,8.63968e-08
158.99,8.49567e-08,8.49567e-08
159.992,8.99972e-08,8.99972e-08
160.993,9.01175e-08,9.01175e-08
161.986,8.92995e-08,8.92995e-08
162.987,9.1698e-08,9.1698e-08
163.989,9.13644e-08,9.13644e-08
164.99,9.49021e-08,9.49021e-08
165.991,9.61287e-08,9.61287e-08
166.984,9.78523e-08,9.78523e-08
167.987,9.54519e-08,9.54519e-08
168.989,9.70688e-08,9.70688e-08
169.99,1.01924e-07,1.01924e-07
170.991,9.95758e-08,9.95758e-08
171.985,1.0248e-07,1.0248e-07
172.986,1.00541e-07,1.00541e-07
173.987,1.05793e-07,1.05793e-07
174.989,1.06856e-07,1.06856e-07
175.992,1.07542e-07,1.07542e-07
176.993,1.1448e-07,1.1448e-07
177.986,1.09008e-07,1.09008e-07
178.987,1.17788e-07,1.17788e-07
179.989,1.20896e-07,1.20896e-07
180.989,1.24962e-07,1.24962e-07
181.991,1.2329e-07,1.2329e-07
182.984,1.3277e-07,1.3277e-07
183.987,1.27012e-07,1.27012e-07
184.989,1.31848e-07,1.31848e-07
185.99,1.33105e-07,1.33105e-07
186.991,1.28539e-07,1.28539e-07
187.984,1.38686e-07,1.38686e-07
188.985,1.43515e-07,1.43515e-07
189.987,1.44675e-07,1.44675e-07
190.988,1.47951e-07,1.47951e-07
191.99,1.39989e-07,1.39989e-07
192.992,1.48048e-07,1.48048e-07
193.985,1.48589e-07,1.48589e-07
194.986,1.51912e-07,1.51912e-07
195.987,1.64003e-07,1.64003e-07
196.989,1.69912e-07,1.69912e-07
197.99,1.70451e-07,1.70451e-07
198.984,1.73882e-07,1.73882e-07
199.986,1.72294e-07,1.72294e-07
200.988,1.72007e-07,1.72007e-07
201.989,1.75764e-07,1.75764e-07
202.99,1.86658e-07,1.86658e-07
203.984,1.97601e-07,1.97601e-07
204.985,2.01744e-07,2.01744e-07
205.986,1.94665e-07,1.94665e-07
206.987,2.02284e-07,2.02284e-07
207.989,2.12289e-07,2.12289e-07
208.984,2.00662e-07,2.00662e-07
209.985,2.06501e-07,2.06501e-07
210.986,2.13989e-07,2.13989e-07
211.987,2.16324e-07,2.16324e-07
212.989,2.26124e-07,2.26124e-07
213.99,2.23091e-07,2.23091e-07
214.984,2.2244e-07,2.2244e-07
215.986,2.244e-07,2.244e-07
216.988,2.30946e-07,2.30946e-07
217.989,2.25481e-07,2.25481e-07
218.99,2.32447e-07,2.32447e-07
219.983,2.31913e-07,2.31913e-07
220.985,2.44751e-07,2.44751e-07
221.986,2.48666e-07,2.48666e-07
222.987,2.48328e-07,2.48328e-07
223.989,2.46973e-07,2.46973e-07
224.983,2.43026e-07,2.43026e-07
225.984,2.48777e-07,2.48777e-07
226.986,2.57231e-07,2.57231e-07
227.987,2.57758e-07,2.57758e-07
228.988,2.57066e-07,2.57066e-07
229.989,2.74818e-07,2.74818e-07
230.982,2.82855e-07,2.82855e-07
231.983,2.58407e-07,2.58407e-07
232.986,2.71686e-07,2.71686e-07
233.988,2.61492e-07,2.61492e-07
234.989,2.79503e-07,2.79503e-07
235.982,2.68623e-07,2.68623e-07
236.983,2.80586e-07,2.80586e-07
237.985,2.84152e-07,2.84152e-07
238.986,2.99259e-07,2.99259e-07
239.987,2.99924e-07,2.99924e-07
240.983,3.10255e-07,3.10255e-07
241.984,3.11953e-07,3.11953e-07
242.985,3.02385e-07,3.02385e-07
243.986,3.24959e-07,3.24959e-07
244.988,3.34127e-07,3.34127e-07
245.989,3.28165e-07,3.28165e-07
246.982,3.25205e-07,3.25205e-07
247.984,3.31127e-07,3.31127e-07
248.987,3.18328e-07,3.18328e-07
249.988,3.46443e-07,3.46443e-07
250.989,3.49049e-07,3.49049e-07
251.982,3.74186e-07,3.74186e-07
252.983,3.73432e-07,3.73432e-07
253.984,3.8594e-07,3.8594e-07
254.986,4.02953e-07,4.02953e-07
255.987,4.12438e-07,4.12438e-07
256.982,4.16497e-07,4.16497e-07
257.984,3.91478e-07,3.91478e-07
258.986,4.09571e-07,4.09571e-07
259.986,4.03477e-07,4.03477e-07
260.988,4.0437e-07,4.0437e-07
261.981,4.16565e-07,4.16565e-07
262.983,4.2294e-07,4.2294e-07
263.983,4.10277e-07,4.10277e-07
264.985,4.3283e-07,4.3283e-07
265.987,4.57796e-07,4.57796e-07
266.989,4.6949e-07,4.6949e-07
267.982,4.47843e-07,4.47843e-07
268.984,4.64886e-07,4.64886e-07
269.985,4.57407e-07,4.57407e-07
270.986,4.81623e-07,4.81623e-07
271.988,4.81417e-07,4.81417e-07
272.981,5.08199e-07,5.08199e-07
273.984,5.3843e-07,5.3843e-07
274.985,5.33536e-07,5.33536e-07
275.986,5.23549e-07,5.23549e-07
276.988,5.32628e-07,5.32628e-07
277.981,5.59974e-07,5.59974e-07
278.983,5.46481e-07,5.46481e-07
279.983,5.63793e-07,5.63793e-07
280.985,5.62679e-07,5.62679e-07
281.988,5.56749e-07,5.56749e-07
282.99,6.41826e-07,6.41826e-07
283.983,6.136e-07,6.136e-07
284.984,6.24376e-07,6.24376e-07
285.985,7.05183e-07,7.05183e-07
286.987,7.07004e-07,7.07004e-07
287.988,7.28381e-07,7.28381e-07
288.981,7.39899e-07,7.39899e-07
289.983,6.97573e-07,6.97573e-07
290.984,7.15682e-07,7.15682e-07
291.985,7.64373e-07,7.64373e-07
292.986,7.559e-07,7.559e-07
293.979,7.81769e-07,7.81769e-07
294.98,8.26654e-07,8.26654e-07
295.981,7.94059e-07,7.94059e-07
296.983,8.01172e-07,8.01172e-07
297.986,7.8937e-07,7.8937e-07
298.979,8.13675e-07,8.13675e-07
299.98,8.33122e-07,8.33122e-07
300.982,8.56703e-07,8.56703e-07
301.983,8.7718e-07,8.7718e-07
302.984,8.42309e-07,8.42309e-07
303.986,8.6834e-07,8.6834e-07
304.979,8.51979e-07,8.51979e-07
305.982,9.8509e-07,9.8509e-07
306.983,1.05115e-06,1.05115e-06
307.985,1.09728e-06,1.09728e-06
308.986,1.11635e-06,1.11635e-06
309.979,1.02162e-06,1.02162e-06
310.98,1.08126e-06,1.08126e-06
311.982,1.07669e-06,1.07669e-06
312.983,1.09878e-06,1.09878e-06
313.987,1.14145e-06,1.14145e-06
314.979,1.09953e-06,1.09953e-06
315.982,1.09378e-06,1.09378e-06
316.983,1.10095e-06,1.10095e-06
317.984,1.11062e-06,1.11062e-06
318.985,1.23541e-06,1.23541e-06
319.987,1.25629e-06,1.25629e-06
320.98,1.19809e-06,1.19809e-06
321.982,1.14483e-06,1.14483e-06
322.983,1.16234e-06,1.16234e-06
323.983,1.28415e-06,1.28415e-06
324.984,1.34685e-06,1.34685e-06
20.6428,0.0199999,0.0199999
22.0309,0.0200002,0.0200002
