vRange: ,200
iLimit: ,0.02
iRange: ,
nplc: ,1,delay: ,0.05
data Number:,16
V_meas,I,abs_I
-0.00382281,-3.85382e-13,3.85382e-13
0.0974146,6.1916e-11,6.1916e-11
0.198942,7.90825e-11,7.90825e-11
0.296514,7.88713e-11,7.88713e-11
0.398127,8.22356e-11,8.22356e-11
0.499221,8.07955e-11,8.07955e-11
0.597283,7.82919e-11,7.82919e-11
0.698498,7.46697e-11,7.46697e-11
0.796454,7.43989e-11,7.43989e-11
0.898173,7.38714e-11,7.38714e-11
0.999267,7.27494e-11,7.27494e-11
1.09737,7.09937e-11,7.09937e-11
1.19818,7.11529e-11,7.11529e-11
1.29646,6.7605e-11,6.7605e-11
1.39784,6.75267e-11,6.75267e-11
1.49895,6.50751e-11,6.50751e-11
